8.22. netqlty 0.48, netp 0.4686, randp 0.4979, sxs 1
8.23. netqlty 0.43, netp 0.4708, randp 0.4958, sxs 1
8.24. netqlty 0.37, netp 0.4689, randp 0.4938, sxs 0
8.25. netqlty 0.41, netp 0.4669, randp 0.4917, sxs 0
8.26. netqlty 0.48, netp 0.4650, randp 0.4938, sxs 0
8.27. netqlty 0.41, netp 0.4631, randp 0.4959, sxs 0
8.28. netqlty 0.48, netp 0.4653, randp 0.4980, sxs 1
8.29. netqlty 0.44, netp 0.4675, randp 0.4959, sxs 1
8.30. netqlty 0.46, netp 0.4656, randp 0.4939, sxs 0
8.31. netqlty 0.43, netp 0.4637, randp 0.4919, sxs 0
sxss 9, ones 22, zeros 9
9.1. netqlty 0.41, netp 0.4618, randp 0.4900, sxs 0
9.2. netqlty 0.52, netp 0.4600, randp 0.4920, sxs 0
9.3. netqlty 0.46, netp 0.4622, randp 0.4900, sxs 1
9.4. netqlty 0.50, netp 0.4603, randp 0.4881, sxs 0
9.5. netqlty 0.35, netp 0.4585, randp 0.4901, sxs 0
9.6. netqlty 0.39, netp 0.4606, randp 0.4882, sxs 1
9.7. netqlty 0.41, netp 0.4588, randp 0.4902, sxs 0
9.8. netqlty 0.43, netp 0.4570, randp 0.4922, sxs 0
9.9. netqlty 0.46, netp 0.4553, randp 0.4942, sxs 0
9.10. netqlty 0.43, netp 0.4535, randp 0.4922, sxs 0
9.11. netqlty 0.44, netp 0.4517, randp 0.4942, sxs 0
9.12. netqlty 0.43, netp 0.4538, randp 0.4962, sxs 1
9.13. netqlty 0.48, netp 0.4559, randp 0.4981, sxs 1
9.14. netqlty 0.44, netp 0.4542, randp 0.4962, sxs 0
9.15. netqlty 0.37, netp 0.4525, randp 0.4981, sxs 0
9.16. netqlty 0.39, netp 0.4545, randp 0.5000, sxs 1
9.17. netqlty 0.39, netp 0.4566, randp 0.5019, sxs 1
9.18. netqlty 0.39, netp 0.4549, randp 0.5038, sxs 0
9.19. netqlty 0.46, netp 0.4532, randp 0.5019, sxs 0
9.20. netqlty 0.43, netp 0.4515, randp 0.5000, sxs 0
9.21. netqlty 0.39, netp 0.4498, randp 0.4981, sxs 0
9.22. netqlty 0.44, netp 0.4519, randp 0.5000, sxs 1
9.23. netqlty 0.46, netp 0.4502, randp 0.4982, sxs 0
9.24. netqlty 0.44, netp 0.4522, randp 0.4963, sxs 1
9.25. netqlty 0.48, netp 0.4505, randp 0.4982, sxs 0
9.26. netqlty 0.44, netp 0.4526, randp 0.4964, sxs 1
9.27. netqlty 0.39, netp 0.4545, randp 0.4982, sxs 1
9.28. netqlty 0.44, netp 0.4529, randp 0.4964, sxs 0
9.29. netqlty 0.44, netp 0.4513, randp 0.4982, sxs 0
9.30. netqlty 0.43, netp 0.4496, randp 0.5000, sxs 0
9.31. netqlty 0.43, netp 0.4480, randp 0.5018, sxs 0
sxss 10, ones 21, zeros 10
10.1. netqlty 0.47, netp 0.4500, randp 0.5000, sxs 1
10.2. netqlty 0.47, netp 0.4484, randp 0.5018, sxs 0
10.3. netqlty 0.45, netp 0.4504, randp 0.5000, sxs 1
10.4. netqlty 0.47, netp 0.4523, randp 0.4982, sxs 1
10.5. netqlty 0.42, netp 0.4542, randp 0.4965, sxs 1
10.6. netqlty 0.42, netp 0.4561, randp 0.4947, sxs 1
10.7. netqlty 0.49, netp 0.4580, randp 0.4930, sxs 1
10.8. netqlty 0.38, netp 0.4564, randp 0.4913, sxs 0
10.9. netqlty 0.42, netp 0.4583, randp 0.4896, sxs 1
10.10. netqlty 0.47, netp 0.4602, randp 0.4913, sxs 1
