209. netqlty 1.00, netp 0.5120, onep 0.5120, zerop 0.4880, randp 0.4880, kuperinp 0.4833, sxs 0
210. netqlty 1.00, netp 0.5095, onep 0.5095, zerop 0.4905, randp 0.4857, kuperinp 0.4857, sxs 0
211. netqlty 1.00, netp 0.5118, onep 0.5071, zerop 0.4929, randp 0.4834, kuperinp 0.4882, sxs 1
212. netqlty 1.00, netp 0.5094, onep 0.5094, zerop 0.4906, randp 0.4811, kuperinp 0.4858, sxs 0
213. netqlty 1.00, netp 0.5117, onep 0.5070, zerop 0.4930, randp 0.4789, kuperinp 0.4836, sxs 1
214. netqlty 1.00, netp 0.5140, onep 0.5093, zerop 0.4907, randp 0.4766, kuperinp 0.4813, sxs 1
215. netqlty 1.00, netp 0.5116, onep 0.5116, zerop 0.4884, randp 0.4744, kuperinp 0.4837, sxs 0
216. netqlty 1.00, netp 0.5093, onep 0.5093, zerop 0.4907, randp 0.4722, kuperinp 0.4815, sxs 0
217. netqlty 1.00, netp 0.5069, onep 0.5115, zerop 0.4885, randp 0.4700, kuperinp 0.4793, sxs 0
218. netqlty 1.00, netp 0.5046, onep 0.5138, zerop 0.4862, randp 0.4725, kuperinp 0.4817, sxs 0
219. netqlty 1.00, netp 0.5068, onep 0.5114, zerop 0.4886, randp 0.4749, kuperinp 0.4795, sxs 1
220. netqlty 1.00, netp 0.5091, onep 0.5136, zerop 0.4864, randp 0.4773, kuperinp 0.4773, sxs 1
221. netqlty 1.00, netp 0.5113, onep 0.5113, zerop 0.4887, randp 0.4751, kuperinp 0.4751, sxs 1
222. netqlty 1.00, netp 0.5090, onep 0.5135, zerop 0.4865, randp 0.4775, kuperinp 0.4730, sxs 0
223. netqlty 1.00, netp 0.5112, onep 0.5112, zerop 0.4888, randp 0.4753, kuperinp 0.4709, sxs 1
224. netqlty 1.00, netp 0.5089, onep 0.5089, zerop 0.4911, randp 0.4777, kuperinp 0.4732, sxs 0
225. netqlty 1.00, netp 0.5067, onep 0.5111, zerop 0.4889, randp 0.4756, kuperinp 0.4711, sxs 0
226. netqlty 1.00, netp 0.5044, onep 0.5088, zerop 0.4912, randp 0.4779, kuperinp 0.4690, sxs 0
227. netqlty 1.00, netp 0.5066, onep 0.5110, zerop 0.4890, randp 0.4802, kuperinp 0.4670, sxs 1
228. netqlty 1.00, netp 0.5044, onep 0.5132, zerop 0.4868, randp 0.4781, kuperinp 0.4693, sxs 0
229. netqlty 1.00, netp 0.5066, onep 0.5109, zerop 0.4891, randp 0.4803, kuperinp 0.4672, sxs 1
