13.14. act 1, pred -1, sxs 0, qlty 8
13.15. act 1, pred -1, sxs 0, qlty 8
13.16. act 1, pred -1, sxs 0, qlty 8
13.17. act 1, pred -1, sxs 0, qlty 6
13.18. act 1, pred 1, sxs 1, qlty 10
13.19. act 1, pred 1, sxs 1, qlty 6
13.20. act 1, pred -1, sxs 0, qlty 8
13.21. act 1, pred -1, sxs 0, qlty 8
13.22. act 1, pred -1, sxs 0, qlty 6
13.23. act 1, pred -1, sxs 0, qlty 8
13.24. act 1, pred -1, sxs 0, qlty 8
13.25. act 1, pred -1, sxs 0, qlty 6
13.26. act 1, pred -1, sxs 0, qlty 6
13.27. act 1, pred -1, sxs 0, qlty 8
13.28. act 1, pred 1, sxs 1, qlty 10
13.29. act 1, pred -1, sxs 0, qlty 8
13.30. act 1, pred -1, sxs 0, qlty 6
13.31. act 1, pred -1, sxs 0, qlty 8
14.1. act -1, pred -1, sxs 1, qlty 6
14.2. act -1, pred -1, sxs 1, qlty 8
14.3. act -1, pred 1, sxs 0, qlty 8
14.4. act -1, pred -1, sxs 1, qlty 8
14.5. act -1, pred 1, sxs 0, qlty 8
14.6. act -1, pred -1, sxs 1, qlty 14
14.7. act -1, pred 1, sxs 0, qlty 8
14.8. act -1, pred -1, sxs 1, qlty 8
14.9. act -1, pred -1, sxs 1, qlty 8
14.10. act -1, pred -1, sxs 1, qlty 8
14.11. act -1, pred -1, sxs 1, qlty 8
14.12. act -1, pred -1, sxs 1, qlty 10
14.13. act -1, pred -1, sxs 1, qlty 6
14.14. act -1, pred -1, sxs 1, qlty 6
14.15. act -1, pred -1, sxs 1, qlty 8
14.16. act -1, pred -1, sxs 1, qlty 8
14.17. act -1, pred -1, sxs 1, qlty 10
14.18. act -1, pred -1, sxs 1, qlty 10
14.19. act -1, pred -1, sxs 1, qlty 6
14.20. act -1, pred -1, sxs 1, qlty 8
14.21. act -1, pred 1, sxs 0, qlty 8
14.22. act -1, pred 1, sxs 0, qlty 10
14.23. act -1, pred 1, sxs 0, qlty 6
14.24. act -1, pred -1, sxs 1, qlty 6
14.25. act -1, pred -1, sxs 1, qlty 8
14.26. act -1, pred -1, sxs 1, qlty 8
14.27. act -1, pred -1, sxs 1, qlty 6
14.28. act -1, pred -1, sxs 1, qlty 8
14.29. act -1, pred -1, sxs 1, qlty 8
14.30. act -1, pred -1, sxs 1, qlty 8
14.31. act -1, pred 1, sxs 0, qlty 6
15.1. act 1, pred -1, sxs 0, qlty 6
15.2. act 1, pred 1, sxs 1, qlty 8
15.3. act 1, pred 1, sxs 1, qlty 6
15.4. act 1, pred 1, sxs 1, qlty 6
15.5. act 1, pred 1, sxs 1, qlty 8
15.6. act 1, pred 1, sxs 1, qlty 6
15.7. act 1, pred -1, sxs 0, qlty 6
15.8. act 1, pred -1, sxs 0, qlty 10
15.9. act 1, pred 1, sxs 1, qlty 8
15.10. act 1, pred 1, sxs 1, qlty 8
15.11. act 1, pred 1, sxs 1, qlty 6
15.12. act 1, pred 1, sxs 1, qlty 10
