9.16. act -1, pred 1, sxs 0, qlty 60
9.17. act -1, pred -1, sxs 1, qlty 54
9.18. act -1, pred -1, sxs 1, qlty 60
9.19. act -1, pred -1, sxs 1, qlty 60
9.20. act -1, pred -1, sxs 1, qlty 58
9.21. act -1, pred 1, sxs 0, qlty 50
9.22. act -1, pred 1, sxs 0, qlty 66
9.23. act -1, pred 1, sxs 0, qlty 56
9.24. act -1, pred -1, sxs 1, qlty 60
9.25. act -1, pred 1, sxs 0, qlty 68
9.26. act -1, pred -1, sxs 1, qlty 58
9.27. act -1, pred -1, sxs 1, qlty 60
9.28. act -1, pred 1, sxs 0, qlty 56
9.29. act -1, pred 1, sxs 0, qlty 58
9.30. act -1, pred 1, sxs 0, qlty 58
9.31. act -1, pred -1, sxs 1, qlty 60
10.1. act -1, pred 1, sxs 0, qlty 66
10.2. act -1, pred 1, sxs 0, qlty 58
10.3. act -1, pred 1, sxs 0, qlty 50
10.4. act -1, pred 1, sxs 0, qlty 54
10.5. act -1, pred 1, sxs 0, qlty 62
10.6. act -1, pred 1, sxs 0, qlty 58
10.7. act -1, pred 1, sxs 0, qlty 58
10.8. act -1, pred -1, sxs 1, qlty 58
10.9. act -1, pred -1, sxs 1, qlty 56
10.10. act -1, pred -1, sxs 1, qlty 56
10.11. act -1, pred 1, sxs 0, qlty 58
10.12. act -1, pred 1, sxs 0, qlty 50
10.13. act -1, pred 1, sxs 0, qlty 62
10.14. act -1, pred 1, sxs 0, qlty 58
10.15. act -1, pred 1, sxs 0, qlty 54
10.16. act -1, pred 1, sxs 0, qlty 60
10.17. act -1, pred 1, sxs 0, qlty 60
10.18. act -1, pred 1, sxs 0, qlty 54
10.19. act -1, pred 1, sxs 0, qlty 60
10.20. act -1, pred -1, sxs 1, qlty 60
10.21. act -1, pred -1, sxs 1, qlty 62
10.22. act -1, pred -1, sxs 1, qlty 54
10.23. act -1, pred -1, sxs 1, qlty 56
10.24. act -1, pred -1, sxs 1, qlty 60
10.25. act -1, pred 1, sxs 0, qlty 56
10.26. act -1, pred 1, sxs 0, qlty 56
10.27. act -1, pred -1, sxs 1, qlty 54
10.28. act -1, pred -1, sxs 1, qlty 56
10.29. act -1, pred -1, sxs 1, qlty 60
10.30. act -1, pred 1, sxs 0, qlty 60
10.31. act -1, pred -1, sxs 1, qlty 62
11.1. act 1, pred -1, sxs 0, qlty 56
11.2. act 1, pred -1, sxs 0, qlty 60
11.3. act 1, pred 1, sxs 1, qlty 56
11.4. act 1, pred 1, sxs 1, qlty 60
11.5. act 1, pred 1, sxs 1, qlty 58
11.6. act 1, pred -1, sxs 0, qlty 58
11.7. act 1, pred 1, sxs 1, qlty 54
11.8. act 1, pred 1, sxs 1, qlty 56
11.9. act 1, pred -1, sxs 0, qlty 56
