15.2. act 1, pred -1, sxs 0, qlty 60
15.3. act 1, pred -1, sxs 0, qlty 56
15.4. act 1, pred -1, sxs 0, qlty 60
15.5. act 1, pred -1, sxs 0, qlty 64
15.6. act 1, pred -1, sxs 0, qlty 56
15.7. act 1, pred -1, sxs 0, qlty 60
15.8. act 1, pred -1, sxs 0, qlty 62
15.9. act 1, pred -1, sxs 0, qlty 60
15.10. act 1, pred -1, sxs 0, qlty 62
15.11. act 1, pred -1, sxs 0, qlty 60
15.12. act 1, pred -1, sxs 0, qlty 60
15.13. act 1, pred -1, sxs 0, qlty 62
15.14. act 1, pred -1, sxs 0, qlty 58
15.15. act 1, pred -1, sxs 0, qlty 62
15.16. act 1, pred -1, sxs 0, qlty 62
15.17. act 1, pred -1, sxs 0, qlty 56
15.18. act 1, pred -1, sxs 0, qlty 60
15.19. act 1, pred -1, sxs 0, qlty 58
15.20. act 1, pred -1, sxs 0, qlty 62
15.21. act 1, pred -1, sxs 0, qlty 58
15.22. act 1, pred -1, sxs 0, qlty 58
15.23. act 1, pred -1, sxs 0, qlty 58
15.24. act 1, pred -1, sxs 0, qlty 58
15.25. act 1, pred -1, sxs 0, qlty 64
15.26. act 1, pred -1, sxs 0, qlty 60
15.27. act 1, pred -1, sxs 0, qlty 60
15.28. act 1, pred -1, sxs 0, qlty 60
15.29. act 1, pred -1, sxs 0, qlty 62
15.30. act 1, pred -1, sxs 0, qlty 58
15.31. act 1, pred -1, sxs 0, qlty 54
16.1. act -1, pred -1, sxs 1, qlty 60
16.2. act -1, pred -1, sxs 1, qlty 62
16.3. act -1, pred -1, sxs 1, qlty 62
16.4. act -1, pred -1, sxs 1, qlty 66
16.5. act -1, pred -1, sxs 1, qlty 58
16.6. act -1, pred -1, sxs 1, qlty 62
16.7. act -1, pred -1, sxs 1, qlty 64
16.8. act -1, pred -1, sxs 1, qlty 62
16.9. act -1, pred -1, sxs 1, qlty 58
16.10. act -1, pred -1, sxs 1, qlty 58
16.11. act -1, pred -1, sxs 1, qlty 64
16.12. act -1, pred 1, sxs 0, qlty 58
16.13. act -1, pred -1, sxs 1, qlty 58
16.14. act -1, pred -1, sxs 1, qlty 62
16.15. act -1, pred -1, sxs 1, qlty 64
16.16. act -1, pred -1, sxs 1, qlty 62
16.17. act -1, pred 1, sxs 0, qlty 56
16.18. act -1, pred -1, sxs 1, qlty 64
16.19. act -1, pred -1, sxs 1, qlty 62
16.20. act -1, pred -1, sxs 1, qlty 60
16.21. act -1, pred -1, sxs 1, qlty 58
16.22. act -1, pred -1, sxs 1, qlty 64
16.23. act -1, pred -1, sxs 1, qlty 60
16.24. act -1, pred -1, sxs 1, qlty 66
16.25. act -1, pred -1, sxs 1, qlty 64
16.26. act -1, pred -1, sxs 1, qlty 58
16.27. act -1, pred -1, sxs 1, qlty 60
16.28. act -1, pred -1, sxs 1, qlty 62
16.29. act -1, pred -1, sxs 1, qlty 60
16.30. act -1, pred -1, sxs 1, qlty 66
16.31. act -1, pred -1, sxs 1, qlty 64
17.1. act -1, pred -1, sxs 1, qlty 58
17.2. act -1, pred -1, sxs 1, qlty 56
17.3. act -1, pred -1, sxs 1, qlty 62
17.4. act -1, pred -1, sxs 1, qlty 60
17.5. act -1, pred -1, sxs 1, qlty 58
17.6. act -1, pred -1, sxs 1, qlty 66
17.7. act -1, pred -1, sxs 1, qlty 58
17.8. act -1, pred -1, sxs 1, qlty 60
17.9. act -1, pred -1, sxs 1, qlty 66
17.10. act -1, pred -1, sxs 1, qlty 62
17.11. act -1, pred -1, sxs 1, qlty 62
17.12. act -1, pred -1, sxs 1, qlty 62
17.13. act -1, pred -1, sxs 1, qlty 60
17.14. act -1, pred -1, sxs 1, qlty 60
17.15. act -1, pred -1, sxs 1, qlty 60
17.16. act -1, pred -1, sxs 1, qlty 58
17.17. act -1, pred -1, sxs 1, qlty 66
17.18. act -1, pred -1, sxs 1, qlty 60
17.19. act -1, pred -1, sxs 1, qlty 58
17.20. act -1, pred -1, sxs 1, qlty 62
17.21. act -1, pred -1, sxs 1, qlty 64
17.22. act -1, pred -1, sxs 1, qlty 60
17.23. act -1, pred -1, sxs 1, qlty 64
17.24. act -1, pred -1, sxs 1, qlty 62
17.25. act -1, pred -1, sxs 1, qlty 64
17.26. act -1, pred 1, sxs 0, qlty 62
17.27. act -1, pred -1, sxs 1, qlty 58
17.28. act -1, pred -1, sxs 1, qlty 64
17.29. act -1, pred -1, sxs 1, qlty 66
17.30. act -1, pred -1, sxs 1, qlty 62
17.31. act -1, pred -1, sxs 1, qlty 58
18.1. act -1, pred -1, sxs 1, qlty 64
18.2. act -1, pred -1, sxs 1, qlty 62
18.3. act -1, pred -1, sxs 1, qlty 60
18.4. act -1, pred -1, sxs 1, qlty 68
18.5. act -1, pred -1, sxs 1, qlty 62
18.6. act -1, pred -1, sxs 1, qlty 62
18.7. act -1, pred -1, sxs 1, qlty 58
18.8. act -1, pred -1, sxs 1, qlty 62
18.9. act -1, pred -1, sxs 1, qlty 62
18.10. act -1, pred -1, sxs 1, qlty 58
18.11. act -1, pred -1, sxs 1, qlty 62
18.12. act -1, pred -1, sxs 1, qlty 64
18.13. act -1, pred -1, sxs 1, qlty 60
18.14. act -1, pred -1, sxs 1, qlty 64
18.15. act -1, pred -1, sxs 1, qlty 62
18.16. act -1, pred -1, sxs 1, qlty 60
18.17. act -1, pred -1, sxs 1, qlty 54
18.18. act -1, pred -1, sxs 1, qlty 64
18.19. act -1, pred -1, sxs 1, qlty 64
18.20. act -1, pred -1, sxs 1, qlty 58
18.21. act -1, pred -1, sxs 1, qlty 62
18.22. act -1, pred -1, sxs 1, qlty 62
18.23. act -1, pred -1, sxs 1, qlty 64
18.24. act -1, pred -1, sxs 1, qlty 66
18.25. act -1, pred -1, sxs 1, qlty 64
18.26. act -1, pred -1, sxs 1, qlty 62
18.27. act -1, pred -1, sxs 1, qlty 62
18.28. act -1, pred -1, sxs 1, qlty 64
18.29. act -1, pred -1, sxs 1, qlty 64
18.30. act -1, pred -1, sxs 1, qlty 60
18.31. act -1, pred -1, sxs 1, qlty 62
19.1. act -1, pred -1, sxs 1, qlty 56
