9.22. act -1, pred 1, sxs 0, qlty 0.000
9.23. act -1, pred 1, sxs 0, qlty 1.000
9.24. act -1, pred 1, sxs 0, qlty 1.000
9.25. act -1, pred 1, sxs 0, qlty 1.000
9.26. act -1, pred 1, sxs 0, qlty 0.000
9.27. act -1, pred 1, sxs 0, qlty 1.000
9.28. act -1, pred 1, sxs 0, qlty 1.000
9.29. act -1, pred 1, sxs 0, qlty 1.000
9.30. act -1, pred 1, sxs 0, qlty 0.000
9.31. act -1, pred 1, sxs 0, qlty 1.000
10.1. act 1, pred 1, sxs 1, qlty 1.000
10.2. act 1, pred 1, sxs 1, qlty 1.000
10.3. act 1, pred 1, sxs 1, qlty 1.000
10.4. act 1, pred 1, sxs 1, qlty 1.000
10.5. act 1, pred 1, sxs 1, qlty 1.000
10.6. act 1, pred 1, sxs 1, qlty 1.000
10.7. act 1, pred 1, sxs 1, qlty 1.000
10.8. act 1, pred 1, sxs 1, qlty 0.000
10.9. act 1, pred 1, sxs 1, qlty 0.000
10.10. act 1, pred -1, sxs 0, qlty 1.000
10.11. act 1, pred 1, sxs 1, qlty 1.000
10.12. act 1, pred 1, sxs 1, qlty 1.000
10.13. act 1, pred -1, sxs 0, qlty 1.000
10.14. act 1, pred 1, sxs 1, qlty 1.000
10.15. act 1, pred 1, sxs 1, qlty 1.000
10.16. act 1, pred 1, sxs 1, qlty 1.000
10.17. act 1, pred 1, sxs 1, qlty 1.000
10.18. act 1, pred 1, sxs 1, qlty 1.000
10.19. act 1, pred 1, sxs 1, qlty 0.000
10.20. act 1, pred 1, sxs 1, qlty 1.000
10.21. act 1, pred 1, sxs 1, qlty 1.000
10.22. act 1, pred 1, sxs 1, qlty 1.000
10.23. act 1, pred 1, sxs 1, qlty 1.000
10.24. act 1, pred 1, sxs 1, qlty 1.000
10.25. act 1, pred 1, sxs 1, qlty 1.000
10.26. act 1, pred 1, sxs 1, qlty 1.000
10.27. act 1, pred 1, sxs 1, qlty 1.000
10.28. act 1, pred 1, sxs 1, qlty 1.000
10.29. act 1, pred 1, sxs 1, qlty 1.000
10.30. act 1, pred 1, sxs 1, qlty 1.000
10.31. act 1, pred 1, sxs 1, qlty 1.000
11.1. act -1, pred -1, sxs 1, qlty 0.500
11.2. act -1, pred -1, sxs 1, qlty 0.500
11.3. act -1, pred -1, sxs 1, qlty 1.000
11.4. act -1, pred -1, sxs 1, qlty 0.500
11.5. act -1, pred 1, sxs 0, qlty 1.000
11.6. act -1, pred -1, sxs 1, qlty 0.500
11.7. act -1, pred -1, sxs 1, qlty 1.000
11.8. act -1, pred -1, sxs 1, qlty 0.500
11.9. act -1, pred -1, sxs 1, qlty 0.500
11.10. act -1, pred 1, sxs 0, qlty 1.000
11.11. act -1, pred -1, sxs 1, qlty 0.500
11.12. act -1, pred -1, sxs 1, qlty 0.500
11.13. act -1, pred 1, sxs 0, qlty 0.500
11.14. act -1, pred 1, sxs 0, qlty 1.000
11.15. act -1, pred -1, sxs 1, qlty 0.500
11.16. act -1, pred 1, sxs 0, qlty 0.500
11.17. act -1, pred 1, sxs 0, qlty 0.500
11.18. act -1, pred 1, sxs 0, qlty 0.500
11.19. act -1, pred -1, sxs 1, qlty 1.000
11.20. act -1, pred -1, sxs 1, qlty 1.000
11.21. act -1, pred -1, sxs 1, qlty 0.500
11.22. act -1, pred -1, sxs 1, qlty 0.500
11.23. act -1, pred -1, sxs 1, qlty 0.500
11.24. act -1, pred -1, sxs 1, qlty 0.500
11.25. act -1, pred -1, sxs 1, qlty 0.500
11.26. act -1, pred 1, sxs 0, qlty 0.500
11.27. act -1, pred -1, sxs 1, qlty 0.500
11.28. act -1, pred -1, sxs 1, qlty 0.500
11.29. act -1, pred -1, sxs 1, qlty 0.500
11.30. act -1, pred 1, sxs 0, qlty 0.500
11.31. act -1, pred -1, sxs 1, qlty 0.500
12.1. act -1, pred -1, sxs 1, qlty 0.500
12.2. act -1, pred -1, sxs 1, qlty 0.500
12.3. act -1, pred -1, sxs 1, qlty 0.500
12.4. act -1, pred -1, sxs 1, qlty 0.500
12.5. act -1, pred -1, sxs 1, qlty 0.500
12.6. act -1, pred 1, sxs 0, qlty 1.000
12.7. act -1, pred -1, sxs 1, qlty 0.500
12.8. act -1, pred -1, sxs 1, qlty 1.000
12.9. act -1, pred 1, sxs 0, qlty 1.000
12.10. act -1, pred -1, sxs 1, qlty 0.500
12.11. act -1, pred -1, sxs 1, qlty 1.000
12.12. act -1, pred 1, sxs 0, qlty 1.000
12.13. act -1, pred -1, sxs 1, qlty 0.500
12.14. act -1, pred 1, sxs 0, qlty 1.000
12.15. act -1, pred -1, sxs 1, qlty 0.500
12.16. act -1, pred -1, sxs 1, qlty 0.500
12.17. act -1, pred -1, sxs 1, qlty 1.000
12.18. act -1, pred -1, sxs 1, qlty 1.000
12.19. act -1, pred 1, sxs 0, qlty 0.500
12.20. act -1, pred 1, sxs 0, qlty 1.000
12.21. act -1, pred -1, sxs 1, qlty 0.500
12.22. act -1, pred -1, sxs 1, qlty 0.500
12.23. act -1, pred -1, sxs 1, qlty 0.500
12.24. act -1, pred -1, sxs 1, qlty 1.000
12.25. act -1, pred -1, sxs 1, qlty 0.500
12.26. act -1, pred -1, sxs 1, qlty 0.500
12.27. act -1, pred -1, sxs 1, qlty 0.500
12.28. act -1, pred -1, sxs 1, qlty 1.000
12.29. act -1, pred -1, sxs 1, qlty 0.500
12.30. act -1, pred -1, sxs 1, qlty 0.500
12.31. act -1, pred -1, sxs 1, qlty 1.000
13.1. act -1, pred 1, sxs 0, qlty 1.000
13.2. act -1, pred 1, sxs 0, qlty 0.500
13.3. act -1, pred 1, sxs 0, qlty 1.000
13.4. act -1, pred 1, sxs 0, qlty 1.000
13.5. act -1, pred 1, sxs 0, qlty 1.000
13.6. act -1, pred 1, sxs 0, qlty 0.500
13.7. act -1, pred 1, sxs 0, qlty 1.000
13.8. act -1, pred -1, sxs 1, qlty 1.000
13.9. act -1, pred 1, sxs 0, qlty 1.000
13.10. act -1, pred 1, sxs 0, qlty 1.000
13.11. act -1, pred 1, sxs 0, qlty 1.000
13.12. act -1, pred 1, sxs 0, qlty 1.000
13.13. act -1, pred 1, sxs 0, qlty 1.000
13.14. act -1, pred 1, sxs 0, qlty 1.000
13.15. act -1, pred 1, sxs 0, qlty 1.000
13.16. act -1, pred -1, sxs 1, qlty 1.000
13.17. act -1, pred 1, sxs 0, qlty 1.000
13.18. act -1, pred 1, sxs 0, qlty 0.500
13.19. act -1, pred 1, sxs 0, qlty 0.500
13.20. act -1, pred 1, sxs 0, qlty 1.000
13.21. act -1, pred 1, sxs 0, qlty 1.000
13.22. act -1, pred 1, sxs 0, qlty 1.000
13.23. act -1, pred 1, sxs 0, qlty 1.000
13.24. act -1, pred 1, sxs 0, qlty 1.000
13.25. act -1, pred 1, sxs 0, qlty 1.000
13.26. act -1, pred 1, sxs 0, qlty 0.500
13.27. act -1, pred 1, sxs 0, qlty 1.000
13.28. act -1, pred 1, sxs 0, qlty 1.000
13.29. act -1, pred 1, sxs 0, qlty 1.000
13.30. act -1, pred 1, sxs 0, qlty 1.000
13.31. act -1, pred 1, sxs 0, qlty 0.500
14.1. act 1, pred 1, sxs 1, qlty 1.000
14.2. act 1, pred 1, sxs 1, qlty 0.000
14.3. act 1, pred 1, sxs 1, qlty 0.000
14.4. act 1, pred 1, sxs 1, qlty 0.000
14.5. act 1, pred 1, sxs 1, qlty 1.000
14.6. act 1, pred 1, sxs 1, qlty 1.000
14.7. act 1, pred 1, sxs 1, qlty 0.000
14.8. act 1, pred 1, sxs 1, qlty 1.000
14.9. act 1, pred 1, sxs 1, qlty 0.000
14.10. act 1, pred 1, sxs 1, qlty 1.000
14.11. act 1, pred 1, sxs 1, qlty 1.000
14.12. act 1, pred 1, sxs 1, qlty 0.000
14.13. act 1, pred 1, sxs 1, qlty 0.000
14.14. act 1, pred -1, sxs 0, qlty 1.000
14.15. act 1, pred 1, sxs 1, qlty 1.000
14.16. act 1, pred 1, sxs 1, qlty 0.000
14.17. act 1, pred 1, sxs 1, qlty 0.000
14.18. act 1, pred 1, sxs 1, qlty 0.000
14.19. act 1, pred 1, sxs 1, qlty 0.000
14.20. act 1, pred -1, sxs 0, qlty 1.000
14.21. act 1, pred 1, sxs 1, qlty 0.000
14.22. act 1, pred 1, sxs 1, qlty 1.000
14.23. act 1, pred -1, sxs 0, qlty 1.000
14.24. act 1, pred 1, sxs 1, qlty 1.000
14.25. act 1, pred 1, sxs 1, qlty 0.000
14.26. act 1, pred 1, sxs 1, qlty 0.000
14.27. act 1, pred 1, sxs 1, qlty 1.000
14.28. act 1, pred 1, sxs 1, qlty 0.000
14.29. act 1, pred 1, sxs 1, qlty 1.000
14.30. act 1, pred 1, sxs 1, qlty 0.000
14.31. act 1, pred -1, sxs 0, qlty 1.000
15.1. act -1, pred -1, sxs 1, qlty 1.000
15.2. act -1, pred 1, sxs 0, qlty 0.500
15.3. act -1, pred -1, sxs 1, qlty 1.000
15.4. act -1, pred -1, sxs 1, qlty 1.000
15.5. act -1, pred -1, sxs 1, qlty 1.000
15.6. act -1, pred -1, sxs 1, qlty 1.000
15.7. act -1, pred -1, sxs 1, qlty 1.000
15.8. act -1, pred -1, sxs 1, qlty 0.500
15.9. act -1, pred -1, sxs 1, qlty 1.000
15.10. act -1, pred -1, sxs 1, qlty 1.000
15.11. act -1, pred -1, sxs 1, qlty 0.500
15.12. act -1, pred -1, sxs 1, qlty 1.000
15.13. act -1, pred -1, sxs 1, qlty 1.000
15.14. act -1, pred -1, sxs 1, qlty 0.500
15.15. act -1, pred -1, sxs 1, qlty 0.500
15.16. act -1, pred -1, sxs 1, qlty 0.500
15.17. act -1, pred -1, sxs 1, qlty 1.000
15.18. act -1, pred -1, sxs 1, qlty 0.500
15.19. act -1, pred -1, sxs 1, qlty 1.000
15.20. act -1, pred -1, sxs 1, qlty 1.000
15.21. act -1, pred -1, sxs 1, qlty 0.500
15.22. act -1, pred -1, sxs 1, qlty 1.000
15.23. act -1, pred -1, sxs 1, qlty 1.000
15.24. act -1, pred -1, sxs 1, qlty 0.500
15.25. act -1, pred 1, sxs 0, qlty 0.500
15.26. act -1, pred -1, sxs 1, qlty 1.000
15.27. act -1, pred -1, sxs 1, qlty 1.000
15.28. act -1, pred -1, sxs 1, qlty 0.500
15.29. act -1, pred -1, sxs 1, qlty 0.500
15.30. act -1, pred 1, sxs 0, qlty 0.500
15.31. act -1, pred -1, sxs 1, qlty 1.000
16.1. act -1, pred -1, sxs 1, qlty 0.500
16.2. act -1, pred -1, sxs 1, qlty 0.500
16.3. act -1, pred -1, sxs 1, qlty 0.500
16.4. act -1, pred -1, sxs 1, qlty 0.500
16.5. act -1, pred -1, sxs 1, qlty 0.500
16.6. act -1, pred -1, sxs 1, qlty 1.000
16.7. act -1, pred -1, sxs 1, qlty 0.500
16.8. act -1, pred -1, sxs 1, qlty 0.500
16.9. act -1, pred -1, sxs 1, qlty 0.500
16.10. act -1, pred -1, sxs 1, qlty 1.000
16.11. act -1, pred -1, sxs 1, qlty 1.000
16.12. act -1, pred -1, sxs 1, qlty 1.000
16.13. act -1, pred -1, sxs 1, qlty 0.500
16.14. act -1, pred 1, sxs 0, qlty 0.500
16.15. act -1, pred -1, sxs 1, qlty 0.500
16.16. act -1, pred -1, sxs 1, qlty 0.500
16.17. act -1, pred -1, sxs 1, qlty 0.000
16.18. act -1, pred 1, sxs 0, qlty 0.500
16.19. act -1, pred -1, sxs 1, qlty 1.000
16.20. act -1, pred 1, sxs 0, qlty 0.500
16.21. act -1, pred -1, sxs 1, qlty 1.000
16.22. act -1, pred -1, sxs 1, qlty 1.000
16.23. act -1, pred -1, sxs 1, qlty 0.500
16.24. act -1, pred -1, sxs 1, qlty 0.500
16.25. act -1, pred -1, sxs 1, qlty 1.000
16.26. act -1, pred 1, sxs 0, qlty 0.500
16.27. act -1, pred -1, sxs 1, qlty 0.500
16.28. act -1, pred -1, sxs 1, qlty 1.000
16.29. act -1, pred 1, sxs 0, qlty 0.500
16.30. act -1, pred -1, sxs 1, qlty 0.500
16.31. act -1, pred 1, sxs 0, qlty 1.000
17.1. act -1, pred -1, sxs 1, qlty 0.500
17.2. act -1, pred -1, sxs 1, qlty 1.000
17.3. act -1, pred -1, sxs 1, qlty 0.500
17.4. act -1, pred -1, sxs 1, qlty 0.500
17.5. act -1, pred 1, sxs 0, qlty 0.500
17.6. act -1, pred -1, sxs 1, qlty 1.000
17.7. act -1, pred -1, sxs 1, qlty 0.500
17.8. act -1, pred 1, sxs 0, qlty 1.000
17.9. act -1, pred -1, sxs 1, qlty 1.000
17.10. act -1, pred -1, sxs 1, qlty 1.000
17.11. act -1, pred -1, sxs 1, qlty 1.000
17.12. act -1, pred -1, sxs 1, qlty 1.000
17.13. act -1, pred -1, sxs 1, qlty 1.000
17.14. act -1, pred -1, sxs 1, qlty 1.000
17.15. act -1, pred -1, sxs 1, qlty 0.500
17.16. act -1, pred -1, sxs 1, qlty 1.000
17.17. act -1, pred -1, sxs 1, qlty 1.000
17.18. act -1, pred -1, sxs 1, qlty 0.500
17.19. act -1, pred -1, sxs 1, qlty 1.000
17.20. act -1, pred -1, sxs 1, qlty 1.000
17.21. act -1, pred 1, sxs 0, qlty 0.500
17.22. act -1, pred -1, sxs 1, qlty 0.500
