10.25. act -1, pred 1, sxs 0, qlty 62
10.26. act -1, pred 1, sxs 0, qlty 64
10.27. act -1, pred 1, sxs 0, qlty 64
10.28. act -1, pred 1, sxs 0, qlty 64
10.29. act -1, pred 1, sxs 0, qlty 68
10.30. act -1, pred 1, sxs 0, qlty 58
10.31. act -1, pred 1, sxs 0, qlty 58
11.1. act -1, pred 1, sxs 0, qlty 66
11.2. act -1, pred -1, sxs 1, qlty 62
11.3. act -1, pred 1, sxs 0, qlty 66
11.4. act -1, pred -1, sxs 1, qlty 68
11.5. act -1, pred 1, sxs 0, qlty 68
11.6. act -1, pred -1, sxs 1, qlty 64
11.7. act -1, pred -1, sxs 1, qlty 70
11.8. act -1, pred 1, sxs 0, qlty 74
11.9. act -1, pred 1, sxs 0, qlty 64
11.10. act -1, pred -1, sxs 1, qlty 70
11.11. act -1, pred 1, sxs 0, qlty 68
11.12. act -1, pred -1, sxs 1, qlty 68
11.13. act -1, pred -1, sxs 1, qlty 64
11.14. act -1, pred 1, sxs 0, qlty 70
11.15. act -1, pred -1, sxs 1, qlty 70
11.16. act -1, pred 1, sxs 0, qlty 66
11.17. act -1, pred -1, sxs 1, qlty 64
11.18. act -1, pred -1, sxs 1, qlty 66
11.19. act -1, pred -1, sxs 1, qlty 68
11.20. act -1, pred -1, sxs 1, qlty 66
11.21. act -1, pred 1, sxs 0, qlty 68
11.22. act -1, pred -1, sxs 1, qlty 66
11.23. act -1, pred 1, sxs 0, qlty 62
11.24. act -1, pred -1, sxs 1, qlty 70
11.25. act -1, pred -1, sxs 1, qlty 60
11.26. act -1, pred -1, sxs 1, qlty 70
11.27. act -1, pred -1, sxs 1, qlty 62
11.28. act -1, pred -1, sxs 1, qlty 62
11.29. act -1, pred -1, sxs 1, qlty 64
11.30. act -1, pred -1, sxs 1, qlty 64
11.31. act -1, pred -1, sxs 1, qlty 64
12.1. act 1, pred 1, sxs 1, qlty 76
12.2. act 1, pred -1, sxs 0, qlty 68
12.3. act 1, pred -1, sxs 0, qlty 60
12.4. act 1, pred 1, sxs 1, qlty 60
12.5. act 1, pred 1, sxs 1, qlty 68
12.6. act 1, pred -1, sxs 0, qlty 64
12.7. act 1, pred 1, sxs 1, qlty 68
12.8. act 1, pred 1, sxs 1, qlty 62
12.9. act 1, pred -1, sxs 0, qlty 70
12.10. act 1, pred -1, sxs 0, qlty 66
12.11. act 1, pred -1, sxs 0, qlty 62
12.12. act 1, pred 1, sxs 1, qlty 62
12.13. act 1, pred -1, sxs 0, qlty 62
12.14. act 1, pred 1, sxs 1, qlty 70
12.15. act 1, pred 1, sxs 1, qlty 58
12.16. act 1, pred 1, sxs 1, qlty 62
12.17. act 1, pred 1, sxs 1, qlty 72
12.18. act 1, pred -1, sxs 0, qlty 58
12.19. act 1, pred 1, sxs 1, qlty 64
12.20. act 1, pred 1, sxs 1, qlty 68
12.21. act 1, pred 1, sxs 1, qlty 62
12.22. act 1, pred -1, sxs 0, qlty 66
12.23. act 1, pred -1, sxs 0, qlty 62
12.24. act 1, pred -1, sxs 0, qlty 58
12.25. act 1, pred -1, sxs 0, qlty 70
12.26. act 1, pred -1, sxs 0, qlty 64
12.27. act 1, pred -1, sxs 0, qlty 64
12.28. act 1, pred -1, sxs 0, qlty 60
12.29. act 1, pred -1, sxs 0, qlty 66
12.30. act 1, pred -1, sxs 0, qlty 68
12.31. act 1, pred 1, sxs 1, qlty 62
13.1. act -1, pred -1, sxs 1, qlty 54
13.2. act -1, pred -1, sxs 1, qlty 62
13.3. act -1, pred 1, sxs 0, qlty 68
13.4. act -1, pred -1, sxs 1, qlty 64
13.5. act -1, pred 1, sxs 0, qlty 64
13.6. act -1, pred -1, sxs 1, qlty 66
13.7. act -1, pred -1, sxs 1, qlty 62
13.8. act -1, pred -1, sxs 1, qlty 66
13.9. act -1, pred -1, sxs 1, qlty 68
13.10. act -1, pred 1, sxs 0, qlty 70
13.11. act -1, pred -1, sxs 1, qlty 64
13.12. act -1, pred -1, sxs 1, qlty 68
13.13. act -1, pred -1, sxs 1, qlty 64
13.14. act -1, pred 1, sxs 0, qlty 70
13.15. act -1, pred -1, sxs 1, qlty 68
13.16. act -1, pred 1, sxs 0, qlty 66
13.17. act -1, pred 1, sxs 0, qlty 66
13.18. act -1, pred 1, sxs 0, qlty 56
13.19. act -1, pred 1, sxs 0, qlty 60
13.20. act -1, pred -1, sxs 1, qlty 70
13.21. act -1, pred -1, sxs 1, qlty 64
13.22. act -1, pred -1, sxs 1, qlty 68
13.23. act -1, pred 1, sxs 0, qlty 66
13.24. act -1, pred 1, sxs 0, qlty 62
13.25. act -1, pred -1, sxs 1, qlty 64
13.26. act -1, pred 1, sxs 0, qlty 58
13.27. act -1, pred -1, sxs 1, qlty 60
13.28. act -1, pred -1, sxs 1, qlty 66
13.29. act -1, pred 1, sxs 0, qlty 64
13.30. act -1, pred -1, sxs 1, qlty 64
13.31. act -1, pred 1, sxs 0, qlty 64
14.1. act -1, pred 1, sxs 0, qlty 66
14.2. act -1, pred -1, sxs 1, qlty 68
14.3. act -1, pred 1, sxs 0, qlty 64
14.4. act -1, pred 1, sxs 0, qlty 62
14.5. act -1, pred -1, sxs 1, qlty 62
14.6. act -1, pred 1, sxs 0, qlty 64
14.7. act -1, pred -1, sxs 1, qlty 68
14.8. act -1, pred 1, sxs 0, qlty 64
14.9. act -1, pred 1, sxs 0, qlty 66
14.10. act -1, pred -1, sxs 1, qlty 68
14.11. act -1, pred 1, sxs 0, qlty 62
14.12. act -1, pred 1, sxs 0, qlty 64
14.13. act -1, pred 1, sxs 0, qlty 70
14.14. act -1, pred 1, sxs 0, qlty 62
14.15. act -1, pred 1, sxs 0, qlty 66
14.16. act -1, pred 1, sxs 0, qlty 68
14.17. act -1, pred 1, sxs 0, qlty 64
14.18. act -1, pred 1, sxs 0, qlty 58
14.19. act -1, pred -1, sxs 1, qlty 66
14.20. act -1, pred 1, sxs 0, qlty 64
14.21. act -1, pred 1, sxs 0, qlty 56
14.22. act -1, pred 1, sxs 0, qlty 64
14.23. act -1, pred 1, sxs 0, qlty 60
14.24. act -1, pred 1, sxs 0, qlty 70
14.25. act -1, pred 1, sxs 0, qlty 68
14.26. act -1, pred 1, sxs 0, qlty 62
14.27. act -1, pred 1, sxs 0, qlty 66
14.28. act -1, pred -1, sxs 1, qlty 64
14.29. act -1, pred 1, sxs 0, qlty 66
14.30. act -1, pred 1, sxs 0, qlty 64
14.31. act -1, pred 1, sxs 0, qlty 60
15.1. act 1, pred -1, sxs 0, qlty 72
15.2. act 1, pred -1, sxs 0, qlty 62
15.3. act 1, pred -1, sxs 0, qlty 68
15.4. act 1, pred -1, sxs 0, qlty 68
15.5. act 1, pred -1, sxs 0, qlty 72
15.6. act 1, pred -1, sxs 0, qlty 68
15.7. act 1, pred -1, sxs 0, qlty 64
15.8. act 1, pred -1, sxs 0, qlty 68
15.9. act 1, pred -1, sxs 0, qlty 64
15.10. act 1, pred -1, sxs 0, qlty 70
15.11. act 1, pred -1, sxs 0, qlty 66
15.12. act 1, pred -1, sxs 0, qlty 62
15.13. act 1, pred -1, sxs 0, qlty 66
15.14. act 1, pred 1, sxs 1, qlty 64
15.15. act 1, pred -1, sxs 0, qlty 64
15.16. act 1, pred -1, sxs 0, qlty 60
15.17. act 1, pred -1, sxs 0, qlty 66
15.18. act 1, pred -1, sxs 0, qlty 62
15.19. act 1, pred -1, sxs 0, qlty 58
15.20. act 1, pred 1, sxs 1, qlty 68
15.21. act 1, pred -1, sxs 0, qlty 64
15.22. act 1, pred -1, sxs 0, qlty 68
15.23. act 1, pred -1, sxs 0, qlty 64
15.24. act 1, pred -1, sxs 0, qlty 68
15.25. act 1, pred -1, sxs 0, qlty 64
15.26. act 1, pred -1, sxs 0, qlty 70
15.27. act 1, pred -1, sxs 0, qlty 62
15.28. act 1, pred 1, sxs 1, qlty 68
15.29. act 1, pred -1, sxs 0, qlty 68
15.30. act 1, pred -1, sxs 0, qlty 68
15.31. act 1, pred 1, sxs 1, qlty 62
16.1. act 1, pred -1, sxs 0, qlty 66
16.2. act 1, pred -1, sxs 0, qlty 66
16.3. act 1, pred 1, sxs 1, qlty 64
16.4. act 1, pred 1, sxs 1, qlty 72
16.5. act 1, pred -1, sxs 0, qlty 70
16.6. act 1, pred -1, sxs 0, qlty 68
16.7. act 1, pred -1, sxs 0, qlty 68
16.8. act 1, pred -1, sxs 0, qlty 66
16.9. act 1, pred 1, sxs 1, qlty 68
16.10. act 1, pred -1, sxs 0, qlty 66
16.11. act 1, pred -1, sxs 0, qlty 66
16.12. act 1, pred -1, sxs 0, qlty 68
16.13. act 1, pred 1, sxs 1, qlty 64
16.14. act 1, pred -1, sxs 0, qlty 66
16.15. act 1, pred 1, sxs 1, qlty 66
16.16. act 1, pred -1, sxs 0, qlty 60
16.17. act 1, pred -1, sxs 0, qlty 68
16.18. act 1, pred 1, sxs 1, qlty 66
16.19. act 1, pred -1, sxs 0, qlty 64
16.20. act 1, pred -1, sxs 0, qlty 64
16.21. act 1, pred -1, sxs 0, qlty 68
16.22. act 1, pred -1, sxs 0, qlty 60
16.23. act 1, pred -1, sxs 0, qlty 66
16.24. act 1, pred -1, sxs 0, qlty 66
16.25. act 1, pred -1, sxs 0, qlty 70
16.26. act 1, pred -1, sxs 0, qlty 64
16.27. act 1, pred -1, sxs 0, qlty 62
16.28. act 1, pred -1, sxs 0, qlty 68
16.29. act 1, pred 1, sxs 1, qlty 70
16.30. act 1, pred -1, sxs 0, qlty 66
16.31. act 1, pred 1, sxs 1, qlty 66
17.1. act 1, pred -1, sxs 0, qlty 64
17.2. act 1, pred -1, sxs 0, qlty 70
17.3. act 1, pred -1, sxs 0, qlty 62
17.4. act 1, pred -1, sxs 0, qlty 60
17.5. act 1, pred -1, sxs 0, qlty 68
17.6. act 1, pred -1, sxs 0, qlty 58
17.7. act 1, pred 1, sxs 1, qlty 58
17.8. act 1, pred 1, sxs 1, qlty 58
17.9. act 1, pred -1, sxs 0, qlty 60
17.10. act 1, pred -1, sxs 0, qlty 72
17.11. act 1, pred -1, sxs 0, qlty 64
17.12. act 1, pred -1, sxs 0, qlty 72
17.13. act 1, pred 1, sxs 1, qlty 66
17.14. act 1, pred 1, sxs 1, qlty 72
17.15. act 1, pred 1, sxs 1, qlty 70
17.16. act 1, pred 1, sxs 1, qlty 66
17.17. act 1, pred -1, sxs 0, qlty 68
17.18. act 1, pred 1, sxs 1, qlty 70
17.19. act 1, pred 1, sxs 1, qlty 66
17.20. act 1, pred 1, sxs 1, qlty 64
17.21. act 1, pred -1, sxs 0, qlty 66
17.22. act 1, pred 1, sxs 1, qlty 64
17.23. act 1, pred 1, sxs 1, qlty 64
17.24. act 1, pred 1, sxs 1, qlty 70
17.25. act 1, pred -1, sxs 0, qlty 74
17.26. act 1, pred 1, sxs 1, qlty 68
17.27. act 1, pred -1, sxs 0, qlty 64
17.28. act 1, pred -1, sxs 0, qlty 58
17.29. act 1, pred 1, sxs 1, qlty 62
17.30. act 1, pred -1, sxs 0, qlty 54
17.31. act 1, pred 1, sxs 1, qlty 66
18.1. act -1, pred -1, sxs 1, qlty 66
18.2. act -1, pred -1, sxs 1, qlty 72
18.3. act -1, pred -1, sxs 1, qlty 66
18.4. act -1, pred -1, sxs 1, qlty 66
18.5. act -1, pred -1, sxs 1, qlty 64
18.6. act -1, pred -1, sxs 1, qlty 52
18.7. act -1, pred 1, sxs 0, qlty 70
18.8. act -1, pred -1, sxs 1, qlty 64
18.9. act -1, pred -1, sxs 1, qlty 64
18.10. act -1, pred -1, sxs 1, qlty 56
18.11. act -1, pred -1, sxs 1, qlty 66
18.12. act -1, pred -1, sxs 1, qlty 66
18.13. act -1, pred -1, sxs 1, qlty 64
18.14. act -1, pred -1, sxs 1, qlty 64
18.15. act -1, pred -1, sxs 1, qlty 66
18.16. act -1, pred -1, sxs 1, qlty 64
18.17. act -1, pred -1, sxs 1, qlty 68
18.18. act -1, pred 1, sxs 0, qlty 64
18.19. act -1, pred -1, sxs 1, qlty 64
18.20. act -1, pred -1, sxs 1, qlty 74
18.21. act -1, pred -1, sxs 1, qlty 64
18.22. act -1, pred -1, sxs 1, qlty 64
18.23. act -1, pred -1, sxs 1, qlty 66
18.24. act -1, pred 1, sxs 0, qlty 68
18.25. act -1, pred -1, sxs 1, qlty 64
18.26. act -1, pred -1, sxs 1, qlty 62
18.27. act -1, pred -1, sxs 1, qlty 66
18.28. act -1, pred -1, sxs 1, qlty 62
18.29. act -1, pred 1, sxs 0, qlty 56
18.30. act -1, pred 1, sxs 0, qlty 64
18.31. act -1, pred -1, sxs 1, qlty 60
19.1. act 1, pred 1, sxs 1, qlty 68
