13.20. act 1, pred -1, sxs 0, qlty 22
13.21. act 1, pred -1, sxs 0, qlty 22
13.22. act 1, pred -1, sxs 0, qlty 20
13.23. act 1, pred -1, sxs 0, qlty 22
13.24. act 1, pred -1, sxs 0, qlty 22
13.25. act 1, pred -1, sxs 0, qlty 20
13.26. act 1, pred -1, sxs 0, qlty 24
13.27. act 1, pred 1, sxs 1, qlty 20
13.28. act 1, pred -1, sxs 0, qlty 26
13.29. act 1, pred 1, sxs 1, qlty 20
13.30. act 1, pred -1, sxs 0, qlty 22
13.31. act 1, pred -1, sxs 0, qlty 20
14.1. act 1, pred -1, sxs 0, qlty 20
14.2. act 1, pred -1, sxs 0, qlty 20
14.3. act 1, pred 1, sxs 1, qlty 22
14.4. act 1, pred -1, sxs 0, qlty 22
14.5. act 1, pred 1, sxs 1, qlty 20
14.6. act 1, pred -1, sxs 0, qlty 24
14.7. act 1, pred -1, sxs 0, qlty 20
14.8. act 1, pred -1, sxs 0, qlty 20
14.9. act 1, pred -1, sxs 0, qlty 18
14.10. act 1, pred 1, sxs 1, qlty 24
14.11. act 1, pred 1, sxs 1, qlty 22
14.12. act 1, pred -1, sxs 0, qlty 24
14.13. act 1, pred -1, sxs 0, qlty 18
14.14. act 1, pred -1, sxs 0, qlty 22
14.15. act 1, pred -1, sxs 0, qlty 20
14.16. act 1, pred -1, sxs 0, qlty 20
14.17. act 1, pred -1, sxs 0, qlty 20
14.18. act 1, pred -1, sxs 0, qlty 22
14.19. act 1, pred -1, sxs 0, qlty 24
14.20. act 1, pred -1, sxs 0, qlty 18
14.21. act 1, pred 1, sxs 1, qlty 20
14.22. act 1, pred -1, sxs 0, qlty 20
14.23. act 1, pred -1, sxs 0, qlty 20
14.24. act 1, pred -1, sxs 0, qlty 22
14.25. act 1, pred -1, sxs 0, qlty 18
14.26. act 1, pred -1, sxs 0, qlty 22
14.27. act 1, pred -1, sxs 0, qlty 18
14.28. act 1, pred -1, sxs 0, qlty 28
14.29. act 1, pred -1, sxs 0, qlty 20
14.30. act 1, pred -1, sxs 0, qlty 22
