10.30. act -1, pred 1, sxs 0, qlty 62
10.31. act -1, pred -1, sxs 1, qlty 66
11.1. act 1, pred 1, sxs 1, qlty 68
11.2. act 1, pred -1, sxs 0, qlty 68
11.3. act 1, pred -1, sxs 0, qlty 64
11.4. act 1, pred 1, sxs 1, qlty 64
11.5. act 1, pred -1, sxs 0, qlty 64
11.6. act 1, pred 1, sxs 1, qlty 68
11.7. act 1, pred 1, sxs 1, qlty 62
11.8. act 1, pred -1, sxs 0, qlty 62
11.9. act 1, pred -1, sxs 0, qlty 66
11.10. act 1, pred 1, sxs 1, qlty 66
11.11. act 1, pred 1, sxs 1, qlty 62
11.12. act 1, pred -1, sxs 0, qlty 68
11.13. act 1, pred -1, sxs 0, qlty 68
11.14. act 1, pred -1, sxs 0, qlty 64
11.15. act 1, pred 1, sxs 1, qlty 72
11.16. act 1, pred 1, sxs 1, qlty 66
11.17. act 1, pred 1, sxs 1, qlty 62
11.18. act 1, pred -1, sxs 0, qlty 66
11.19. act 1, pred -1, sxs 0, qlty 70
11.20. act 1, pred 1, sxs 1, qlty 68
11.21. act 1, pred -1, sxs 0, qlty 68
11.22. act 1, pred -1, sxs 0, qlty 70
11.23. act 1, pred -1, sxs 0, qlty 70
11.24. act 1, pred 1, sxs 1, qlty 66
11.25. act 1, pred 1, sxs 1, qlty 64
11.26. act 1, pred 1, sxs 1, qlty 70
11.27. act 1, pred 1, sxs 1, qlty 64
11.28. act 1, pred -1, sxs 0, qlty 70
11.29. act 1, pred -1, sxs 0, qlty 68
11.30. act 1, pred -1, sxs 0, qlty 66
11.31. act 1, pred 1, sxs 1, qlty 68
12.1. act -1, pred -1, sxs 1, qlty 66
12.2. act -1, pred -1, sxs 1, qlty 62
12.3. act -1, pred 1, sxs 0, qlty 68
12.4. act -1, pred 1, sxs 0, qlty 60
12.5. act -1, pred -1, sxs 1, qlty 70
12.6. act -1, pred -1, sxs 1, qlty 68
12.7. act -1, pred -1, sxs 1, qlty 62
12.8. act -1, pred -1, sxs 1, qlty 58
12.9. act -1, pred 1, sxs 0, qlty 58
12.10. act -1, pred -1, sxs 1, qlty 74
12.11. act -1, pred 1, sxs 0, qlty 62
12.12. act -1, pred -1, sxs 1, qlty 74
12.13. act -1, pred -1, sxs 1, qlty 68
12.14. act -1, pred 1, sxs 0, qlty 70
12.15. act -1, pred -1, sxs 1, qlty 66
12.16. act -1, pred -1, sxs 1, qlty 72
12.17. act -1, pred -1, sxs 1, qlty 68
12.18. act -1, pred -1, sxs 1, qlty 62
